Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
JBLB,"1,530.00",-0.29,"1,536.10","1,530.00","1,535.10","1,053"
JFL,540.00,-0.25,558.00,540.00,552.10,"13,660"
JOSHI,341.00,-0.6,345.00,340.10,345.00,"3,630"
KBL,227.00,-0.74,231.00,227.00,230.00,"42,611"
KBSH,"2,140.00",0,"2,180.00","2,140.00","2,180.00",20
KDBY,10.21,-1.83,10.21,10.21,10.21,"1,000"
KDL,"1,160.00",-1.54,"1,175.00","1,155.20","1,155.20",60
KEF,10.00,1.42,10.05,10.00,10.05,"45,300"
KKHC,300.00,0.02,305.90,300.00,305.90,"1,080"
KMCDB,"1,145.00",1.8,"1,145.00","1,145.00","1,145.00",10
KPCL,643.00,1.92,669.00,605.80,643.50,"27,380"
KSBBL,530.00,-0.49,538.90,525.00,535.00,"19,149"
LBBL,547.30,-0.59,558.00,547.10,558.00,"70,559"
LEC,241.50,-0.97,248.70,241.30,248.70,"67,454"
LICN,972.50,0.1,980.00,972.00,972.00,"1,588"
LLBS,"1,190.20",0.67,"1,230.00","1,190.20","1,205.00",655
LSL,244.00,-0.57,247.00,244.00,247.00,"3,880"
LUK,10.68,-1.84,10.68,10.68,10.68,100
LVF2,10.43,-1.97,10.43,10.43,10.43,100
MAKAR,675.10,-0.08,689.10,675.00,689.10,720
MANDU,933.00,-0.21,934.90,932.00,934.90,140
MATRI,"1,272.00",2.44,"1,274.90","1,230.00","1,230.00",497
MBJC,330.00,-0.17,331.90,328.50,328.60,"3,585"
MBL,259.40,-1.68,266.50,259.00,264.00,"11,084"
MCHL,562.00,-1.12,563.00,560.00,560.00,60
MDB,696.00,-0.22,697.20,683.60,683.60,"3,766"
MEHL,485.10,0.09,496.70,475.00,475.00,"1,701"
MEL,328.00,0.32,330.00,322.40,326.00,"3,069"
MEN,666.40,-0.54,672.00,666.00,672.00,"3,136"
MERO,951.00,-1.25,956.00,943.80,943.80,"4,111"
MFIL,682.20,-0.28,690.00,681.20,681.20,"3,313"
MHCL,480.40,-1.69,507.00,479.00,498.30,"1,372"
MHL,640.10,-0.14,650.00,628.20,628.20,630
MHNL,287.10,0.28,295.80,280.70,280.70,"4,906"
MKCL,"1,647.00",-0.63,"1,647.00","1,626.10","1,626.10",190
MKHC,444.00,1.42,445.00,435.10,435.10,360
MKHL,875.00,0.22,889.00,856.00,856.00,60
MKJC,559.00,1.98,559.00,544.00,548.00,"5,067"
MLBBL,"1,664.60",2.13,"1,664.60","1,600.00","1,600.00",480
MLBL,430.00,-0.94,442.00,430.00,442.00,"13,195"
MLBSL,"2,353.10",-0.04,"2,380.00","2,350.00","2,350.00",476
MMF1,9.73,1.99,9.73,9.73,9.73,200
MMKJL,614.10,0.01,629.00,614.00,626.30,567
MNBBL,462.10,-0.53,467.10,458.00,458.00,"10,231"
MPFL,681.00,0.21,691.00,679.00,691.00,"1,625"
MSLB,"1,445.00",1.46,"1,496.00","1,401.00","1,401.00","3,442"
NABBC,"1,630.00",1.99,"1,630.00","1,630.00","1,630.00","1,000"
NABIL,553.90,0.45,556.00,552.00,552.00,"5,386"
NADEP,949.90,0.4,950.00,940.00,950.00,296
NBF2,10.69,1.91,10.69,10.69,10.69,100
NBF3,10.18,-0.1,10.39,10.15,10.39,"16,500"
NBL,305.50,-0.81,312.00,305.50,309.00,"71,830"
NBLD82,"1,047.00",-3.59,"1,065.00","1,047.00","1,065.00",65
NESDO,"1,794.10",1.45,"1,796.00","1,768.00","1,768.00",90
NFS,751.50,-0.44,769.90,751.50,769.90,"6,147"
NGPL,423.00,0.78,428.10,420.00,428.10,"78,360"
NHDL,736.00,-0.16,751.00,736.00,750.00,159
NHPC,235.00,0.55,237.90,235.00,235.00,"35,983"
NIBLGF,9.40,1.29,9.46,9.40,9.46,400
NIBLSTF,8.81,-1.89,9.15,8.81,9.15,"1,860"
NIBSF2,9.36,1.85,9.36,9.36,9.36,100
NICA,407.00,-0.88,418.80,406.00,418.80,"10,610"
NICAD8283,"1,222.90",0,"1,222.90","1,222.90","1,222.90",1
NICBF,9.71,-1.42,9.71,9.71,9.71,100
NICGF2,9.44,1.94,9.44,9.44,9.44,100
NICL,680.00,-0.26,680.10,680.00,680.10,"5,170"
NICLBSL,731.10,-1.51,755.00,731.00,742.00,"2,260"
NICSF,9.61,-1.74,9.97,9.61,9.97,400
NIFRA,321.00,0.37,327.00,320.00,320.00,"176,328"
NIL,763.10,-0.91,773.00,763.00,771.00,814
NIMB,234.10,-0.65,238.00,234.10,235.00,"12,787"
NLG,936.30,-2.05,974.90,936.10,974.90,"7,816"
