Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
HIDCLP,210.04,1.43,212.00,206.00,206.00,"373,013"
HLBSL,974.44,1.36,978.00,960.30,970.00,"2,678"
HLI,405.05,0.11,407.70,400.00,400.00,"31,429"
HPPL,506.56,1.12,514.90,496.40,496.40,"45,173"
HRL,926.72,0.32,935.00,918.00,920.00,"116,498"
HURJA,250.41,0.14,255.00,246.50,246.50,"84,244"
ICFC,622.03,-0.19,628.00,618.60,628.00,"10,060"
ICFCD83,"1,249.71",2.1,"1,250.00","1,200.00","1,200.00",583
ICFCD88,"1,087.00",-0.28,"1,087.00","1,085.00","1,085.00",75
IGI,544.54,0.95,553.90,537.20,548.00,"14,201"
IHL,551.61,-0.92,577.00,535.10,546.00,"4,809"
ILBS,840.83,-0.46,859.00,836.00,859.00,"4,134"
ILI,451.02,0.73,452.00,445.00,445.00,"10,891"
JBBL,331.21,1.26,333.50,327.00,333.50,"33,541"
JBLB,"1,326.85",0.52,"1,346.00","1,320.00","1,320.00","6,836"
JFL,499.86,-0.4,505.00,495.60,501.00,"14,175"
JOSHI,326.68,0.34,332.00,323.20,323.20,"40,500"
JSLBB,"1,291.43",0.49,"1,327.00","1,285.00","1,285.00","1,098"
KBL,212.31,2.18,213.00,206.00,206.20,"238,016"
KBSH,"1,924.75",0.25,"1,950.00","1,911.20","1,949.90",578
KDBY,10.00,0.1,10.00,9.96,9.96,"10,500"
KDL,"1,121.31",0.41,"1,128.00","1,094.50","1,094.50","1,735"
KEF,9.38,0.32,9.76,9.17,9.17,"9,600"
KKHC,436.52,-2.29,450.00,435.00,450.00,"106,263"
KMCDB,"1,041.52",1.61,"1,044.60","1,019.10","1,021.00","3,749"
KPCL,540.98,1.62,545.00,534.10,540.00,"8,572"
KSBBL,463.33,0,467.90,458.00,460.00,"32,623"
KSY,9.64,1.26,9.64,9.52,9.52,600
LBBL,431.43,0.46,444.00,429.30,438.00,"24,532"
LBLD86,"1,089.00",-1.48,"1,105.40","1,105.40","1,105.40",4
LEC,215.31,1.98,218.20,208.00,213.20,"272,148"
LICN,894.18,1.01,900.00,880.00,880.00,"11,071"
LLBS,"1,053.40",0.14,"1,071.80","1,051.00","1,071.80",968
LSL,223.17,2.75,225.00,216.00,216.10,"151,506"
LUK,10.25,-0.39,10.30,10.22,10.22,"8,985"
LVF2,10.06,-0.89,10.06,9.99,9.99,"1,003,000"
MAKAR,615.22,1.02,617.00,600.00,600.00,"2,025"
